NUM ITERATIONS:	4381
FINAL VALUES:	3.8994e-05	0	0	
writing to: output_1.txt

V1(t) and V2(t) have finished calculating and is located in output_1.txt

Begin parameter extraction for a2/a1, tau1, tau2
2.06962e+167 -1.92721e-05 5e-08
1.24032e+167 -1.92465e-05 5e-08
9.60181e+166 -1.92337e-05 5e-08
8.44819e+166 -1.92273e-05 5e-08
7.92444e+166 -1.92241e-05 5e-08
7.43317e+166 -1.92209e-05 5e-08
6.97235e+166 -1.92177e-05 5e-08
6.5401e+166 -1.92145e-05 5e-08
6.13464e+166 -1.92113e-05 5e-08
5.75433e+166 -1.92081e-05 5e-08
5.06296e+166 -1.92017e-05 5e-08
4.45466e+166 -1.91953e-05 5e-08
3.44854e+166 -1.91825e-05 5e-08
2.0667e+166 -1.91569e-05 5e-08
1.23856e+166 -1.91313e-05 5e-08
7.42266e+165 -1.91057e-05 5e-08
4.44837e+165 -1.90801e-05 5e-08
3.44367e+165 -1.90673e-05 5e-08
3.02992e+165 -1.90609e-05 5e-08
2.84208e+165 -1.90577e-05 5e-08
2.66589e+165 -1.90545e-05 5e-08
2.50062e+165 -1.90513e-05 5e-08
2.34559e+165 -1.90481e-05 5e-08
2.20018e+165 -1.90449e-05 5e-08
2.06378e+165 -1.90417e-05 5e-08
1.81582e+165 -1.90353e-05 5e-08
1.59765e+165 -1.90289e-05 5e-08
1.23681e+165 -1.90161e-05 5e-08
7.41216e+164 -1.89905e-05 5e-08
4.44208e+164 -1.89649e-05 5e-08
2.66212e+164 -1.89393e-05 5e-08
1.5954e+164 -1.89137e-05 5e-08
1.23506e+164 -1.89009e-05 5e-08
1.08667e+164 -1.88945e-05 5e-08
1.01931e+164 -1.88913e-05 5e-08
9.56114e+163 -1.88881e-05 5e-08
8.9684e+163 -1.88849e-05 5e-08
8.4124e+163 -1.88817e-05 5e-08
7.89088e+163 -1.88785e-05 5e-08
7.40168e+163 -1.88753e-05 5e-08
6.51239e+163 -1.88689e-05 5e-08
5.72995e+163 -1.88625e-05 5e-08
4.4358e+163 -1.88497e-05 5e-08
2.65835e+163 -1.88241e-05 5e-08
1.59314e+163 -1.87985e-05 5e-08
9.54762e+162 -1.87729e-05 5e-08
5.72185e+162 -1.87473e-05 5e-08
4.42952e+162 -1.87345e-05 5e-08
3.89733e+162 -1.87281e-05 5e-08
3.65572e+162 -1.87249e-05 5e-08
3.42908e+162 -1.87217e-05 5e-08
3.21649e+162 -1.87185e-05 5e-08
3.01709e+162 -1.87153e-05 5e-08
2.83004e+162 -1.87121e-05 5e-08
2.6546e+162 -1.87089e-05 5e-08
2.33565e+162 -1.87025e-05 5e-08
2.05503e+162 -1.86961e-05 5e-08
1.59089e+162 -1.86833e-05 5e-08
9.53412e+161 -1.86577e-05 5e-08
5.71376e+161 -1.86321e-05 5e-08
3.42423e+161 -1.86065e-05 5e-08
2.05213e+161 -1.85809e-05 5e-08
1.58864e+161 -1.85681e-05 5e-08
1.39777e+161 -1.85617e-05 5e-08
1.31111e+161 -1.85585e-05 5e-08
1.22983e+161 -1.85553e-05 5e-08
1.15359e+161 -1.85521e-05 5e-08
1.08207e+161 -1.85489e-05 5e-08
1.01499e+161 -1.85457e-05 5e-08
9.52064e+160 -1.85425e-05 5e-08
8.37677e+160 -1.85361e-05 5e-08
7.37033e+160 -1.85297e-05 5e-08
5.70568e+160 -1.85169e-05 5e-08
3.41939e+160 -1.84913e-05 5e-08
2.04923e+160 -1.84657e-05 5e-08
1.22809e+160 -1.84401e-05 5e-08
7.35991e+159 -1.84145e-05 5e-08
5.69761e+159 -1.84017e-05 5e-08
5.01306e+159 -1.83953e-05 5e-08
4.70228e+159 -1.83921e-05 5e-08
4.41076e+159 -1.83889e-05 5e-08
4.13732e+159 -1.83857e-05 5e-08
3.88082e+159 -1.83825e-05 5e-08
3.64023e+159 -1.83793e-05 5e-08
3.41456e+159 -1.83761e-05 5e-08
3.00431e+159 -1.83697e-05 5e-08
2.64335e+159 -1.83633e-05 5e-08
2.04633e+159 -1.83505e-05 5e-08
1.22636e+159 -1.83249e-05 5e-08
7.3495e+158 -1.82993e-05 5e-08
4.40453e+158 -1.82737e-05 5e-08
2.63961e+158 -1.82481e-05 5e-08
2.04344e+158 -1.82353e-05 5e-08
1.79792e+158 -1.82289e-05 5e-08
1.68646e+158 -1.82257e-05 5e-08
1.58191e+158 -1.82225e-05 5e-08
1.48384e+158 -1.82193e-05 5e-08
1.39185e+158 -1.82161e-05 5e-08
1.30556e+158 -1.82129e-05 5e-08
1.22462e+158 -1.82097e-05 5e-08
1.07749e+158 -1.82033e-05 5e-08
9.48032e+157 -1.81969e-05 5e-08
7.33911e+157 -1.81841e-05 5e-08
4.3983e+157 -1.81585e-05 5e-08
2.63588e+157 -1.81329e-05 5e-08
1.57967e+157 -1.81073e-05 5e-08
9.46691e+156 -1.80817e-05 5e-08
7.32873e+156 -1.80689e-05 5e-08
6.44821e+156 -1.80625e-05 5e-08
6.04845e+156 -1.80593e-05 5e-08
5.67348e+156 -1.80561e-05 5e-08
5.32175e+156 -1.80529e-05 5e-08
4.99183e+156 -1.80497e-05 5e-08
4.68236e+156 -1.80465e-05 5e-08
4.39208e+156 -1.80433e-05 5e-08
